epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2650.09,0.99818,2.53467,1.4696,0.42676,0.52593,0.39553,0.25779,1.39167,2.33783,1.99817,0.000302594,0.000302594,0.000302594
2,5207.25,0.79619,1.87763,1.28263,0.52564,0.52883,0.46335,0.32697,1.21542,1.9321,1.75597,0.000599598,0.000599598,0.000599598
3,7606.38,0.75587,1.74677,1.24712,0.63298,0.47521,0.48589,0.35735,1.1811,1.84163,1.73141,0.000890604,0.000890604,0.000890604
4,10085.5,0.71937,1.68279,1.22194,0.56226,0.57705,0.52695,0.39694,1.1975,1.6833,1.7426,0.000882003,0.000882003,0.000882003
5,12479.7,0.69162,1.62706,1.20639,0.60269,0.49378,0.51788,0.38024,1.16588,1.65283,1.71362,0.000873004,0.000873004,0.000873004
6,14874.1,0.66241,1.5729,1.18635,0.63107,0.5828,0.57607,0.41873,1.22516,1.4938,1.7303,0.000864004,0.000864004,0.000864004
7,17363,0.63749,1.54631,1.17109,0.58258,0.54962,0.54871,0.38526,1.28827,1.60238,1.84815,0.000855005,0.000855005,0.000855005
8,19860.6,0.62393,1.5267,1.16477,0.69116,0.59919,0.62122,0.45094,1.17886,1.37592,1.68225,0.000846006,0.000846006,0.000846006
9,22213,0.61104,1.49457,1.15353,0.69162,0.60809,0.65148,0.47297,1.17079,1.34395,1.6807,0.000837007,0.000837007,0.000837007
10,24418.5,0.5962,1.48006,1.14315,0.70371,0.61769,0.66619,0.50609,1.10058,1.28261,1.6038,0.000828008,0.000828008,0.000828008
11,26535.3,0.58522,1.46047,1.13284,0.66262,0.63753,0.66137,0.49394,1.14336,1.31088,1.63827,0.000819009,0.000819009,0.000819009
12,28759.2,0.57903,1.44633,1.13624,0.7426,0.63247,0.71286,0.53904,1.08553,1.24687,1.58071,0.00081001,0.00081001,0.00081001
13,30995.8,0.56905,1.43529,1.12682,0.75377,0.6145,0.69434,0.50649,1.12283,1.26367,1.59971,0.000801011,0.000801011,0.000801011
14,33229.8,0.56262,1.41574,1.12477,0.72483,0.61765,0.68251,0.53509,1.0536,1.2209,1.53333,0.000792012,0.000792012,0.000792012
15,35337,0.5617,1.41354,1.12445,0.59596,0.71947,0.71056,0.54518,1.0444,1.22543,1.52439,0.000783013,0.000783013,0.000783013
16,37563.6,0.55042,1.39912,1.11523,0.56969,0.66343,0.67213,0.52548,1.02805,1.25192,1.52217,0.000774013,0.000774013,0.000774013
17,39839.6,0.54562,1.39261,1.11111,0.63788,0.69544,0.73667,0.55684,1.08577,1.18743,1.58342,0.000765014,0.000765014,0.000765014
18,42080.3,0.53868,1.38371,1.11086,0.64139,0.63775,0.70546,0.5288,1.12406,1.23071,1.64258,0.000756015,0.000756015,0.000756015
19,44179.2,0.53965,1.37748,1.10895,0.63147,0.72479,0.73909,0.56992,1.05728,1.17657,1.56431,0.000747016,0.000747016,0.000747016
20,46410.8,0.5281,1.36392,1.10176,0.7032,0.67099,0.76238,0.58744,1.03313,1.10926,1.50359,0.000738017,0.000738017,0.000738017
21,48652.7,0.52808,1.35016,1.09966,0.66775,0.72112,0.75982,0.58573,1.03476,1.13931,1.50561,0.000729018,0.000729018,0.000729018
22,50877.8,0.53355,1.34395,1.10235,0.63922,0.71484,0.74888,0.57038,1.0966,1.15658,1.57099,0.000720019,0.000720019,0.000720019
23,53104.6,0.51794,1.33696,1.09476,0.61424,0.74924,0.74696,0.56463,1.07675,1.15972,1.54309,0.00071102,0.00071102,0.00071102
24,55218.1,0.51068,1.3326,1.09062,0.67422,0.74983,0.75887,0.5919,1.04326,1.11518,1.50265,0.000702021,0.000702021,0.000702021
25,57471,0.5138,1.32703,1.09543,0.68442,0.69263,0.75858,0.56442,1.10544,1.09765,1.57189,0.000693022,0.000693022,0.000693022
26,59724.7,0.51334,1.31431,1.09003,0.7221,0.71054,0.77049,0.59643,1.04096,1.1203,1.48528,0.000684022,0.000684022,0.000684022
27,61964.1,0.50983,1.31298,1.0916,0.74848,0.75616,0.79479,0.61719,1.01384,1.04584,1.45572,0.000675023,0.000675023,0.000675023
28,64097.8,0.50611,1.30243,1.08921,0.70914,0.72639,0.78398,0.62538,0.96965,1.02499,1.4232,0.000666024,0.000666024,0.000666024
29,66390.2,0.49666,1.28931,1.08178,0.73208,0.73821,0.79993,0.61009,1.06641,1.03859,1.53143,0.000657025,0.000657025,0.000657025
30,68651.7,0.49843,1.28505,1.08363,0.73647,0.76051,0.80679,0.6358,1.01244,1.027,1.44061,0.000648026,0.000648026,0.000648026
31,70879.8,0.4893,1.2836,1.08018,0.7721,0.73639,0.80315,0.62723,1.00621,1.03355,1.46838,0.000639027,0.000639027,0.000639027
32,73094.1,0.48881,1.27025,1.07723,0.74599,0.74147,0.79862,0.63136,0.99937,1.01131,1.44249,0.000630028,0.000630028,0.000630028
33,75169.5,0.48682,1.26463,1.07737,0.75761,0.74899,0.80833,0.64871,0.97253,0.98243,1.41892,0.000621029,0.000621029,0.000621029
34,77375,0.48815,1.26726,1.07721,0.77546,0.74319,0.80638,0.64124,1.00936,1.01821,1.44656,0.00061203,0.00061203,0.00061203
35,79645.6,0.48401,1.26574,1.07103,0.75152,0.74077,0.80213,0.63989,0.97151,0.99417,1.40516,0.000603031,0.000603031,0.000603031
36,81875,0.48549,1.24678,1.07638,0.76849,0.74564,0.8013,0.6413,0.96531,1.02416,1.42289,0.000594031,0.000594031,0.000594031
37,83976,0.4816,1.24357,1.07416,0.79028,0.76188,0.82019,0.65824,0.95716,0.97308,1.41777,0.000585032,0.000585032,0.000585032
38,86274.6,0.47749,1.23957,1.06896,0.78894,0.77325,0.82264,0.65357,0.99221,0.9546,1.43617,0.000576033,0.000576033,0.000576033
39,88568.8,0.47108,1.22756,1.06543,0.77726,0.76167,0.82835,0.65652,0.98044,0.96366,1.41856,0.000567034,0.000567034,0.000567034
40,90831.6,0.47093,1.23453,1.06825,0.76605,0.79072,0.83513,0.65156,1.01541,0.93994,1.46908,0.000558035,0.000558035,0.000558035
41,93321.2,0.47024,1.21445,1.06403,0.82052,0.78453,0.83195,0.65597,0.98551,0.95207,1.44438,0.000549036,0.000549036,0.000549036
42,95611.1,0.46557,1.21149,1.06092,0.81825,0.77219,0.83501,0.66857,0.95319,0.92881,1.38849,0.000540037,0.000540037,0.000540037
43,97890.4,0.4668,1.19992,1.06547,0.82266,0.7761,0.84478,0.66815,0.97327,0.93913,1.41688,0.000531038,0.000531038,0.000531038
44,100218,0.45763,1.19855,1.05801,0.78521,0.78854,0.83586,0.676,0.96626,0.94965,1.40577,0.000522039,0.000522039,0.000522039
45,102551,0.46347,1.19559,1.06477,0.81291,0.7787,0.84417,0.68227,0.956,0.91002,1.39835,0.00051304,0.00051304,0.00051304
46,104841,0.45674,1.18701,1.05812,0.81572,0.79563,0.84755,0.69128,0.92447,0.90015,1.36045,0.00050404,0.00050404,0.00050404
47,107367,0.45656,1.18274,1.05944,0.84298,0.76479,0.84735,0.68012,0.96713,0.91006,1.41373,0.000495041,0.000495041,0.000495041
48,109678,0.45606,1.17586,1.05572,0.80253,0.79773,0.84357,0.68236,0.94832,0.90571,1.39586,0.000486042,0.000486042,0.000486042
49,111996,0.45587,1.17172,1.0573,0.8575,0.78704,0.86287,0.69522,0.95004,0.89813,1.38891,0.000477043,0.000477043,0.000477043
50,114128,0.4476,1.15839,1.04939,0.87009,0.77291,0.85981,0.69305,0.95006,0.89984,1.39178,0.000468044,0.000468044,0.000468044
51,116330,0.45358,1.15903,1.05541,0.85036,0.7834,0.86395,0.70133,0.93454,0.90353,1.36883,0.000459045,0.000459045,0.000459045
52,118599,0.44423,1.15378,1.04983,0.86106,0.77019,0.85681,0.70241,0.9306,0.89961,1.37908,0.000450046,0.000450046,0.000450046
53,120833,0.4448,1.14977,1.05009,0.82075,0.7851,0.85197,0.70221,0.90764,0.87873,1.34979,0.000441047,0.000441047,0.000441047
54,123177,0.44755,1.14683,1.05162,0.88162,0.75843,0.85574,0.69166,0.95089,0.89668,1.39023,0.000432048,0.000432048,0.000432048
55,125548,0.44302,1.13519,1.05248,0.8711,0.77586,0.85764,0.69259,0.95978,0.8707,1.40165,0.000423049,0.000423049,0.000423049
56,127912,0.43984,1.13126,1.04894,0.86168,0.80788,0.85713,0.69482,0.94292,0.8646,1.3833,0.000414049,0.000414049,0.000414049
57,130243,0.43757,1.11922,1.04504,0.87365,0.78553,0.85846,0.70228,0.91529,0.85184,1.36329,0.00040505,0.00040505,0.00040505
58,132545,0.43713,1.1124,1.04647,0.8904,0.75074,0.85317,0.69083,0.93333,0.89066,1.36776,0.000396051,0.000396051,0.000396051
59,134695,0.43968,1.11718,1.04909,0.85503,0.76862,0.86494,0.70072,0.93481,0.85797,1.36408,0.000387052,0.000387052,0.000387052
60,136929,0.4435,1.10804,1.05144,0.84483,0.80064,0.86479,0.70422,0.9389,0.87236,1.37098,0.000378053,0.000378053,0.000378053
61,139184,0.43457,1.09584,1.04523,0.84879,0.78886,0.85375,0.692,0.94605,0.88272,1.39239,0.000369054,0.000369054,0.000369054
62,141425,0.43295,1.1035,1.04487,0.87015,0.78687,0.86139,0.70011,0.92322,0.86005,1.3678,0.000360055,0.000360055,0.000360055
63,143592,0.42379,1.09353,1.03603,0.89524,0.78404,0.86908,0.70961,0.91582,0.84819,1.35451,0.000351056,0.000351056,0.000351056
64,145824,0.43179,1.07661,1.04392,0.84221,0.80793,0.86325,0.70215,0.91513,0.84923,1.3451,0.000342057,0.000342057,0.000342057
65,148084,0.43115,1.0772,1.04277,0.87155,0.77498,0.8692,0.707,0.9216,0.843,1.35687,0.000333058,0.000333058,0.000333058
66,150346,0.42896,1.07594,1.04046,0.83362,0.8046,0.86018,0.70045,0.94033,0.85561,1.37561,0.000324058,0.000324058,0.000324058
67,152613,0.42154,1.05888,1.03678,0.85489,0.80841,0.86415,0.70667,0.9258,0.85088,1.35909,0.000315059,0.000315059,0.000315059
68,154800,0.42914,1.0704,1.04144,0.865,0.80417,0.86761,0.71394,0.89704,0.83007,1.33373,0.00030606,0.00030606,0.00030606
69,157194,0.42561,1.0503,1.03761,0.8627,0.81714,0.8746,0.72003,0.90831,0.82704,1.34437,0.000297061,0.000297061,0.000297061
70,159653,0.41759,1.04587,1.03339,0.8721,0.79325,0.86507,0.70858,0.90432,0.84202,1.33464,0.000288062,0.000288062,0.000288062
71,162013,0.42217,1.04157,1.03794,0.8549,0.8053,0.86458,0.71026,0.9018,0.82972,1.33561,0.000279063,0.000279063,0.000279063
72,164322,0.42199,1.03714,1.03685,0.85795,0.80089,0.86429,0.71183,0.91079,0.83355,1.34537,0.000270064,0.000270064,0.000270064
73,166746,0.41805,1.03838,1.03769,0.87981,0.80939,0.87133,0.71586,0.9027,0.83471,1.33827,0.000261065,0.000261065,0.000261065
74,169045,0.41603,1.02295,1.03403,0.88236,0.79517,0.86902,0.71037,0.91263,0.83606,1.3493,0.000252066,0.000252066,0.000252066
75,171349,0.41477,1.01517,1.03544,0.84976,0.82764,0.87525,0.71504,0.9134,0.82998,1.34691,0.000243067,0.000243067,0.000243067
76,173676,0.41063,1.01737,1.03047,0.85066,0.81444,0.87036,0.71364,0.89997,0.83706,1.33487,0.000234068,0.000234068,0.000234068
77,176084,0.41177,1.02243,1.03006,0.84496,0.8263,0.86991,0.71322,0.89322,0.83068,1.3324,0.000225068,0.000225068,0.000225068
78,178437,0.41413,1.00814,1.03239,0.90429,0.78223,0.87283,0.71491,0.90189,0.83222,1.34365,0.000216069,0.000216069,0.000216069
79,180688,0.40991,1.00184,1.03084,0.85828,0.81011,0.87619,0.72003,0.89321,0.82853,1.32545,0.00020707,0.00020707,0.00020707
80,182972,0.41084,1.00112,1.03303,0.88699,0.7927,0.87083,0.71364,0.90766,0.8253,1.34002,0.000198071,0.000198071,0.000198071
81,185308,0.39871,0.98515,1.02148,0.88967,0.79439,0.87482,0.71408,0.90717,0.81837,1.34369,0.000189072,0.000189072,0.000189072
82,187665,0.4097,0.98558,1.03085,0.89482,0.80095,0.87399,0.71532,0.90514,0.80565,1.34057,0.000180073,0.000180073,0.000180073
83,189996,0.40315,0.97324,1.02945,0.89015,0.80692,0.87964,0.72129,0.9086,0.80364,1.34034,0.000171074,0.000171074,0.000171074
84,192315,0.40421,0.96089,1.02746,0.88199,0.79497,0.87499,0.71757,0.91106,0.81694,1.34296,0.000162075,0.000162075,0.000162075
85,194648,0.40609,0.97295,1.02788,0.88312,0.80478,0.87813,0.72102,0.90276,0.81565,1.33774,0.000153076,0.000153076,0.000153076
86,197023,0.40266,0.96617,1.02585,0.85506,0.82711,0.87678,0.71907,0.90151,0.81799,1.33856,0.000144077,0.000144077,0.000144077
87,199332,0.40268,0.96029,1.02754,0.84111,0.83236,0.87898,0.7218,0.89944,0.81539,1.33476,0.000135077,0.000135077,0.000135077
88,201751,0.39893,0.95714,1.02589,0.85238,0.82689,0.873,0.71973,0.8945,0.82039,1.33029,0.000126078,0.000126078,0.000126078
89,204200,0.39787,0.94725,1.02387,0.85719,0.8421,0.87669,0.72324,0.88572,0.81472,1.31784,0.000117079,0.000117079,0.000117079
90,206623,0.39515,0.94001,1.02272,0.87586,0.82273,0.87591,0.72188,0.88514,0.81228,1.31726,0.00010808,0.00010808,0.00010808
